CarName;fueltype;doornumber;carbody;cylindernumber;enginesize;horsepower;peakrpm;price
toyota carina;gas;four;wagon;four;92;62;4800;8778
toyota mark ii;gas;four;sedan;four;98;70;4800;6938
toyota corolla 1200;gas;four;hatchback;four;98;70;4800;7198
toyota corona;diesel;four;sedan;four;110;56;4500;7898
toyota corolla;diesel;four;hatchback;four;110;56;4500;7788
toyota corona;gas;four;sedan;four;98;70;4800;7738
toyota corolla;gas;four;hatchback;four;98;70;4800;8358
toyota mark ii;gas;four;sedan;four;98;70;4800;9258
toyota corolla liftback;gas;two;sedan;four;98;70;4800;8058
toyota corona;gas;two;hatchback;four;98;70;4800;8238
toyota celica gt liftback;gas;two;sedan;four;98;112;6600;9298
toyota corolla tercel;gas;two;hatchback;four;98;112;6600;9538
toyota corona liftback;gas;two;hardtop;four;146;116;4800;8449
toyota corolla;gas;two;hardtop;four;146;116;4800;9639
toyota starlet;gas;two;hatchback;four;146;116;4800;9989
toyota tercel;gas;two;hardtop;four;146;116;4800;11199
toyota corolla;gas;two;hatchback;four;146;116;4800;11549
toyota cressida;gas;two;convertible;four;146;116;4800;17669
toyota corolla;gas;four;sedan;four;122;92;4200;8948
toyota celica gt;diesel;four;sedan;four;110;73;4500;10698
toyota corona;gas;four;hatchback;four;122;92;4200;9988
toyota corolla;gas;four;sedan;four;122;92;4200;10898
toyota mark ii;gas;four;hatchback;four;122;92;4200;11248
toyota corolla liftback;gas;two;hatchback;six;171;161;5200;16558
toyota corona;gas;two;hatchback;six;171;161;5200;15998
toyota starlet;gas;four;sedan;six;171;156;5200;15690
toyouta tercel;gas;four;wagon;six;161;156;5200;15750
vokswagen rabbit;diesel;two;sedan;four;97;52;4800;7775
volkswagen 1131 deluxe sedan;gas;two;sedan;four;109;85;5250;7975
volkswagen model 111;diesel;four;sedan;four;97;52;4800;7995
volkswagen type 3;gas;four;sedan;four;109;85;5250;8195
volkswagen 411 (sw);gas;four;sedan;four;109;85;5250;8495
volkswagen super beetle;diesel;four;sedan;four;97;68;4500;9495
volkswagen dasher;gas;four;sedan;four;109;100;5500;9995
vw dasher;gas;two;convertible;four;109;90;5500;11595
vw rabbit;gas;two;hatchback;four;109;90;5500;9980
volkswagen rabbit;gas;four;sedan;five;136;110;5500;13295
volkswagen rabbit custom;diesel;four;sedan;four;97;68;4500;13845
volkswagen dasher;gas;four;wagon;four;109;88;5500;12290
volvo 145e (sw);gas;four;sedan;four;141;114;5400;12940
volvo 144ea;gas;four;wagon;four;141;114;5400;13415
volvo 244dl;gas;four;sedan;four;141;114;5400;15985
volvo 245;gas;four;wagon;four;141;114;5400;16515
volvo 264gl;gas;four;sedan;four;130;162;5100;18420
volvo diesel;gas;four;wagon;four;130;162;5100;18950
volvo 145e (sw);gas;four;sedan;four;141;114;5400;16845
volvo 144ea;gas;four;sedan;four;141;160;5300;19045
volvo 244dl;gas;four;sedan;six;173;134;5500;21485
volvo 246;diesel;four;sedan;six;145;106;4800;22470
volvo 264gl;gas;four;sedan;four;141;114;5400;22625
